objekt_id,breitengrad,laengengrad,gemeindebezirk_code,gemeindebezirk_bisher,gemeindebezirk_polygon,zaehlgebiet_code,zaehlbezirk_code,sub_district_code,prognoseregion_code,gebietstyp_code,gebietstyp,aggregierter_gebietstyp_code,aggregierter_gebietstyp,zuordnungsmethode,geometrie_datenstand,anzahl_polygon_treffer,grenzfall,grenznah_unter_1m,grenzdistanz_meter,bezirk_konsistent,zaehlbezirk_konsistent,qualitaetsstatus
18554,48.187770,16.366553,4,4,4,04043,0404,90404,4B,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,5.923,1,1,eindeutig_zugeordnet
18555,48.273610,16.446100,21,21,21,21052,2105,92105,21C,JA,Gebiete dominiert durch Bauten von 1961 bis 1991,JAN,"Mischgebiete der jüngeren Vergangenheit, Neubau- und Stadterweiterungsgebiete",point_in_polygon_ray_casting,2026-09-03,1,0,0,55.753,1,1,eindeutig_zugeordnet
18556,48.194029,16.360142,5,5,5,05011,0501,90501,5A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,62.141,1,1,eindeutig_zugeordnet
18557,48.192886,16.346101,6,6,6,06039,0603,90603,6A,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,14.534,1,1,eindeutig_zugeordnet
18558,48.183745,16.357869,5,5,5,05024,0502,90502,5B,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,105.741,1,1,eindeutig_zugeordnet
18559,48.199803,16.401574,3,3,3,03101,0310,90310,3D,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,66.551,1,1,eindeutig_zugeordnet
18489,48.198039,16.365414,4,4,4,04010,0401,90401,4A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,58.446,1,1,eindeutig_zugeordnet
18490,48.205813,16.338996,7,7,7,07055,0705,90705,7B,GG,Gründerzeit mit überwiegend größeren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,23.040,1,1,eindeutig_zugeordnet
18491,48.183990,16.349731,5,5,5,05039,0503,90503,5C,G,Gründerzeit mit überwiegend kleineren Wohnungen,AGGGH,gründerzeitliche Gebiete,point_in_polygon_ray_casting,2026-09-03,1,0,0,22.812,1,1,eindeutig_zugeordnet
18492,48.201076,16.327356,15,15,15,15017,1501,91501,15A,D,zwischen- und nachkriegszeitliche Gebiete hoher Dichte,BD,zwischen- und nachkriegszeitliche Strukturen,point_in_polygon_ray_casting,2026-09-03,1,0,0,8.177,1,1,eindeutig_zugeordnet
